CODFILIAL,DTMOV,CODPROD,DESCRICAO,QT
1,26/11/2020 00:00,288,NINHO IOGURTE MORANGO 24X170G,3
1,26/11/2020 00:00,1517,NESTON IOGURTE LIQ MACA E BAN 24X170G,2
1,26/11/2020 00:00,2040,NESFIT IOGURTE FRUTAS VERMELHAS 24X170G,3
1,26/11/2020 00:00,2042,NESFIT IOGURTE MORANGO BAUN 24X170G,4
1,26/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,2
1,26/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,26/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,85
1,26/11/2020 00:00,2038,NESFIT IOGURTE MORANGO BAUN 12X850G,2
1,27/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,3
1,27/11/2020 00:00,183,CHAMBINHO PETIT MOR 16X320G,1
1,27/11/2020 00:00,288,NINHO IOGURTE MORANGO 24X170G,1
1,27/11/2020 00:00,1887,CHANDELLE CHOCOLATE BRANCO 18X360G,1
1,27/11/2020 00:00,1736,NESTLE IOGURTE POLPA VITAMINA 6X540G,2
1,28/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,6
1,28/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,6
1,28/11/2020 00:00,1509,NESTLE IOGURTE MORANGO 24X170G,1
1,28/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,7
1,28/11/2020 00:00,1511,NESTLE IOGURTE MORANGO 12X900G,2
1,28/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,2
1,28/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,1
1,28/11/2020 00:00,214,REQUEIJAO CREMOSO NESTLE LIGHT 15X200G,2
1,28/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,1
1,28/11/2020 00:00,1509,NESTLE IOGURTE MORANGO 24X170G,1
1,28/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,2
1,28/11/2020 00:00,183,CHAMBINHO PETIT MOR 16X320G,8
1,28/11/2020 00:00,183,CHAMBINHO PETIT MOR 16X320G,4
1,28/11/2020 00:00,195,IOGURTE GREGO NESTLE TRADICIONAL 12X400G,1
1,28/11/2020 00:00,1509,NESTLE IOGURTE MORANGO 24X170G,3
1,28/11/2020 00:00,1517,NESTON IOGURTE LIQ MACA E BAN 24X170G,2
1,28/11/2020 00:00,1941,NESTLE GREGO TRADICIONAL 24X90G,2
1,28/11/2020 00:00,2041,NESFIT IOGURTE MARACUJA AVEIA 24X170G,1
1,28/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,4
1,28/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,7
1,30/11/2020 00:00,1736,NESTLE IOGURTE POLPA VITAMINA 6X540G,4
1,30/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,7
1,30/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,1
1,30/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,2
1,30/11/2020 00:00,1505,NESTLE IOG VIT DE FRUTA 24X170G,1
1,30/11/2020 00:00,1736,NESTLE IOGURTE POLPA VITAMINA 6X540G,2
1,30/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,2
1,30/11/2020 00:00,1736,NESTLE IOGURTE POLPA VITAMINA 6X540G,2
1,30/11/2020 00:00,1505,NESTLE IOG VIT DE FRUTA 24X170G,1
1,30/11/2020 00:00,1517,NESTON IOGURTE LIQ MACA E BAN 24X170G,1
1,30/11/2020 00:00,2040,NESFIT IOGURTE FRUTAS VERMELHAS 24X170G,2
1,30/11/2020 00:00,2041,NESFIT IOGURTE MARACUJA AVEIA 24X170G,1
1,30/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,2
1,30/11/2020 00:00,180,NINHO IOGURTE POLPA 6X540G,7
1,30/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,13
1,30/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,1
1,30/11/2020 00:00,1736,NESTLE IOGURTE POLPA VITAMINA 6X540G,1
1,30/11/2020 00:00,1509,NESTLE IOGURTE MORANGO 24X170G,1
1,30/11/2020 00:00,183,CHAMBINHO PETIT MOR 16X320G,4
1,30/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,11
1,30/11/2020 00:00,1510,NESTLE IOGURTE MORANGO 12X1,1
1,30/11/2020 00:00,183,CHAMBINHO PETIT MOR 16X320G,4
1,30/11/2020 00:00,180,NINHO IOGURTE POLPA 6X540G,2
1,30/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,1
1,30/11/2020 00:00,451,CHAMBINHO CHOCOLATE 16X320G,2
1,01/12/2020 00:00,183,CHAMBINHO PETIT MOR 16X320G,1
1,01/12/2020 00:00,287,NINHO IOGURTE LIQ MACA E BANANA 24X170G,2
1,01/12/2020 00:00,288,NINHO IOGURTE MORANGO 24X170G,6
1,01/12/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,1
1,01/12/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,3
1,01/12/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,2
1,01/12/2020 00:00,183,CHAMBINHO PETIT MOR 16X320G,2
1,01/12/2020 00:00,168,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,2
1,01/12/2020 00:00,180,NINHO IOGURTE POLPA 6X540G,1
1,01/12/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,1
1,01/12/2020 00:00,1505,NESTLE IOG VIT DE FRUTA 24X170G,4
1,01/12/2020 00:00,1509,NESTLE IOGURTE MORANGO 24X170G,4
1,02/12/2020 00:00,183,CHAMBINHO PETIT MOR 16X320G,1
1,02/12/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,3
1,02/12/2020 00:00,1509,NESTLE IOGURTE MORANGO 24X170G,1
1,02/12/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,2
1,02/12/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,2
1,02/12/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,4
1,02/12/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,4
1,02/12/2020 00:00,1505,NESTLE IOG VIT DE FRUTA 24X170G,1
1,02/12/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,8
1,02/12/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,1
1,02/12/2020 00:00,2041,NESFIT IOGURTE MARACUJA AVEIA 24X170G,2
1,02/12/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,2
1,02/12/2020 00:00,1505,NESTLE IOG VIT DE FRUTA 24X170G,4
1,02/12/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,1
1,02/12/2020 00:00,1509,NESTLE IOGURTE MORANGO 24X170G,1
1,02/12/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,1
1,02/12/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,10
1,03/12/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,2
1,03/12/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,3
1,03/12/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,2
1,03/12/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,2
1,03/12/2020 00:00,180,NINHO IOGURTE POLPA 6X540G,1
1,03/12/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,5
1,03/12/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,3
1,04/12/2020 00:00,174,NESTON IOGURTE LIQ MACA BNA 12X850G,4
1,04/12/2020 00:00,287,NINHO IOGURTE LIQ MACA E BANANA 24X170G,6
1,04/12/2020 00:00,288,NINHO IOGURTE MORANGO 24X170G,1
1,04/12/2020 00:00,1517,NESTON IOGURTE LIQ MACA E BAN 24X170G,8
1,04/12/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,2
1,04/12/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,1
1,04/12/2020 00:00,1505,NESTLE IOG VIT DE FRUTA 24X170G,1
1,04/12/2020 00:00,2041,NESFIT IOGURTE MARACUJA AVEIA 24X170G,3
1,04/12/2020 00:00,1505,NESTLE IOG VIT DE FRUTA 24X170G,3
1,04/12/2020 00:00,1509,NESTLE IOGURTE MORANGO 24X170G,3
1,04/12/2020 00:00,1736,NESTLE IOGURTE POLPA VITAMINA 6X540G,7
