Cod_filial,FILIAL,CODPROD,DATA,DESCRICAO,EMBALAGEM,QTESTGER
1,ATACADO,167,28/02/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,666
1,ATACADO,167,02/03/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,411
1,ATACADO,167,03/03/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,171
1,ATACADO,167,04/03/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,71
1,ATACADO,167,05/03/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,71
1,ATACADO,167,06/03/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,60
1,ATACADO,167,07/03/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,60
1,ATACADO,167,08/03/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,758
1,ATACADO,167,09/03/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,306
1,ATACADO,167,10/03/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,108
1,ATACADO,167,11/03/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,18
1,ATACADO,167,12/03/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,18
1,ATACADO,167,13/03/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,0
1,ATACADO,167,14/03/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,0
1,ATACADO,167,15/03/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,0
1,ATACADO,168,16/11/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1
1,ATACADO,168,17/11/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1
1,ATACADO,168,18/11/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1
1,ATACADO,168,19/11/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1376
1,ATACADO,168,20/11/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1226
1,ATACADO,168,21/11/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,321
1,ATACADO,168,22/11/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,321
1,ATACADO,168,23/11/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,136
1,ATACADO,168,24/11/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,28
1,ATACADO,168,25/11/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,4
1,ATACADO,168,26/11/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,4
1,ATACADO,168,27/11/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1536
1,ATACADO,168,28/11/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1156
1,ATACADO,168,29/11/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1156
1,ATACADO,168,01/12/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,14
1,ATACADO,168,02/12/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,7
1,ATACADO,168,03/12/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1687
1,ATACADO,168,04/12/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1593
1,ATACADO,168,05/12/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,993
1,ATACADO,168,06/12/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,993
1,ATACADO,168,07/12/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,618
1,ATACADO,168,08/12/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,473
1,ATACADO,168,09/12/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,19
1,ATACADO,168,10/12/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,19
1,ATACADO,168,11/12/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1445
1,ATACADO,168,12/12/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1274
1,ATACADO,168,13/12/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1274
1,ATACADO,168,14/12/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,777
1,ATACADO,168,15/12/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,297
1,ATACADO,168,16/12/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,177
1,ATACADO,168,17/12/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,177
1,ATACADO,168,18/12/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1416
1,ATACADO,168,19/12/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,671
1,ATACADO,168,20/12/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,671
1,ATACADO,168,21/12/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,369
1,ATACADO,168,22/12/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,182
1,ATACADO,168,23/12/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,182
1,ATACADO,168,24/12/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,21
1,ATACADO,168,25/12/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,21
1,ATACADO,168,26/12/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,18
1,ATACADO,168,27/12/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,18
1,ATACADO,168,28/12/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1345
1,ATACADO,168,29/12/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,861
1,ATACADO,168,30/12/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,764
1,ATACADO,168,31/12/2020 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,12
1,ATACADO,168,01/01/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,12
1,ATACADO,168,02/01/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,12
1,ATACADO,168,03/01/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,12
1,ATACADO,168,04/01/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1680
1,ATACADO,168,05/01/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1470
1,ATACADO,168,06/01/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1382
1,ATACADO,168,07/01/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1067
1,ATACADO,168,08/01/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,963
1,ATACADO,168,09/01/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,2269
1,ATACADO,168,10/01/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,2269
1,ATACADO,168,11/01/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,2061
1,ATACADO,168,12/01/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1263
1,ATACADO,168,13/01/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,768
1,ATACADO,168,14/01/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,691
1,ATACADO,168,15/01/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,2341
1,ATACADO,168,16/01/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1947
1,ATACADO,168,17/01/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1947
1,ATACADO,168,18/01/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1555
1,ATACADO,168,19/01/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1327
1,ATACADO,168,20/01/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1111
1,ATACADO,168,21/01/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,976
1,ATACADO,168,22/01/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,2370
1,ATACADO,168,23/01/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,2048
1,ATACADO,168,24/01/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,2048
1,ATACADO,168,25/01/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1668
1,ATACADO,168,26/01/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1126
1,ATACADO,168,27/01/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1060
1,ATACADO,168,28/01/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,967
1,ATACADO,168,29/01/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,2149
1,ATACADO,168,30/01/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1902
1,ATACADO,168,31/01/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1902
1,ATACADO,168,01/02/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1526
1,ATACADO,168,02/02/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1155
1,ATACADO,168,03/02/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1050
1,ATACADO,168,04/02/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1008
1,ATACADO,168,05/02/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,2368
1,ATACADO,168,06/02/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,2185
1,ATACADO,168,07/02/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,2185
1,ATACADO,168,08/02/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1489
1,ATACADO,168,09/02/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,973
1,ATACADO,168,10/02/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,662
1,ATACADO,168,11/02/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,582
1,ATACADO,168,12/02/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,473
1,ATACADO,168,13/02/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1279
1,ATACADO,168,14/02/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1279
1,ATACADO,168,15/02/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,1134
1,ATACADO,168,17/02/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,863
1,ATACADO,168,18/02/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,798
1,ATACADO,168,19/02/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,710
1,ATACADO,168,20/02/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,426
1,ATACADO,168,21/02/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,426
1,ATACADO,168,22/02/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,111
1,ATACADO,168,23/02/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,0
1,ATACADO,168,24/02/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,0
1,ATACADO,168,25/02/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,0
1,ATACADO,168,26/02/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,0
1,ATACADO,168,27/02/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,573
1,ATACADO,168,28/02/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,573
1,ATACADO,168,02/03/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,205
1,ATACADO,168,03/03/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,0
1,ATACADO,168,04/03/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,0
1,ATACADO,168,05/03/2021 00:00,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,130G,0
