DTMOV,CODPROD,DESCRICAO,CODFILIAL,FORN_ENT,FORNECEDOR
03/12/2020 00:00,1520,CHAMYTO GO IOG LIQ VITAMINA 24X100G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
03/12/2020 00:00,1521,CHAMYTO GO IOG LIQ MORANGO 24X100G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
03/12/2020 00:00,1693,NINHO IOGURTE LIQ MACA E BANANA 24X100G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
03/12/2020 00:00,1697,CHANDELLE CHOCOLATE 6X720G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
03/12/2020 00:00,1698,CHAMYTO LEITE FERM 21X6X120G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
03/12/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
03/12/2020 00:00,1736,NESTLE IOGURTE POLPA VITAMINA 6X540G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
03/12/2020 00:00,1887,CHANDELLE CHOCOLATE BRANCO 18X360G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
03/12/2020 00:00,1939,NESTLE GREGO FRUTAS VERMELHAS 24X90G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
03/12/2020 00:00,1940,NESTLE GREGO TORTA MARACUJA 24X90G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
03/12/2020 00:00,1941,NESTLE GREGO TRADICIONAL 24X90G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
03/12/2020 00:00,1958,NESTLE GREGO TORTA MORANGO 24X90G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
03/12/2020 00:00,1963,NESTLE GREGO TORTA LIMAO 24X90G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
03/12/2020 00:00,2037,NESFIT IOGURTE FRUTAS VERM 12X850G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
03/12/2020 00:00,2039,NESFIT IOGURTE MARACUJA AVEIA 12X850G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
03/12/2020 00:00,2040,NESFIT IOGURTE FRUTAS VERMELHAS 24X170G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
03/12/2020 00:00,2042,NESFIT IOGURTE MORANGO BAUN 24X170G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
03/12/2020 00:00,2099,MOLICO IOGURTE LIQ MRG 12X850G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
03/12/2020 00:00,2347,CHAMBINHO PETIT MRG 64X80G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,174,NESTON IOGURTE LIQ MACA BNA 12X850G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,167,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,168,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,176,NINHO IOGURTE LIQ MACA E BANANA 12X850G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
11/12/2020 00:00,180,NINHO IOGURTE POLPA 6X540G,1,16,DAIRY PARTNERS AMERICAS BRASIL LTDA
