DESCRICAO;Cod_filial;FILIAL;CODPROD;CODFORNEC;FORNECEDOR;EMBALAGEM;QTESTGER;QTINDENIZ;CUSTOULTENT;QTRESERV;QTPENDENTE;Estoque_d
NESTLE GREGO TRADICIONAL 48X90G;1;ATACADO;810;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;90G;0;0;1,166828;0;0;0
IOGURTE GREGO NESTLE TORTA BANANA 48X90G;1;ATACADO;811;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;48X90G;0;0;1,051943;0;0;0
NESTLE NATURAL CENOURA+LARANJA 28X170G;1;ATACADO;198;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;170G;431;0;1,498853;0;0;431
NESTLE IOG LIQ MORANGO 0 LACTOSE 24X170G;1;ATACADO;842;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;170G;0;0;1,195013;0;0;0
NINHO SOLEIL PETIT LEITE 28X320G;1;ATACADO;805;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;28X320G;0;0;3,636578;0;0;0
IOGURTE NESTLE GREGO LIGHT LIMAO 12X360G;1;ATACADO;806;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;12X360G;0;0;3,36674;0;0;0
NESTON IOGURTE LIQ MACA E BAN 24X170G;1;ATACADO;1517;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;170G;1486;0;1,243561;68;0;1418
NESTLE BEB LACTEA POLPA 2 SABORES 6X540G;1;ATACADO;1518;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;540G;0;0;1,972959;0;0;0
NESTLE GREGO IOG TRAD + MRG 6X600G;1;ATACADO;1519;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;600G;141;0;5,620004;0;0;141
NESTLE IOGURTE MORANGO 24X170G;1;ATACADO;1509;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;170G;1603;0;1,335014;76;0;1527
NESTLE IOGURTE MORANGO Z LACTOZE 12X360G;1;ATACADO;1504;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;360G;0;0;3,365539;0;0;0
NESTLE IOGURTE MORANGO 12X900G;1;ATACADO;1511;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;900G;773;0;5,473747;49;0;724
NESTLE IOG VIT DE FRUTA 12X900G;1;ATACADO;1506;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;900G;644;9;5,47375;35;0;609
