Filial;CODPROD;DESCRICAO;DTMOV;QT
1;212;NINHO SOLEIL PETIT MRG+BNA&MC 16X320G;23/03/2021;1
1;254;NINHO FRUTI MORANGO 8X250G;23/03/2021;3
1;450;CHANDELLE CHOCOLATE 24X180G;23/03/2021;2
1;453;CHANDELLE CHOCOLATE 18X360G;23/03/2021;10
1;1510;NESTLE IOGURTE MORANGO 12X1,250G;23/03/2021;1
1;1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;23/03/2021;2
1;2037;NESFIT IOGURTE FRUTAS VERM 12X850G;23/03/2021;2
1;174;NESTON IOGURTE LIQ MACA BNA 12X850G;23/03/2021;1
1;180;NINHO IOGURTE POLPA 6X540G;23/03/2021;1
1;192;NESTLE BICAM IOGURTE MORANGO 28X150G;23/03/2021;1
1;287;NINHO IOGURTE LIQ MACA E BANANA 24X170G;23/03/2021;19
1;1510;NESTLE IOGURTE MORANGO 12X1,250G;23/03/2021;1
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;23/03/2021;3
1;192;NESTLE BICAM IOGURTE MORANGO 28X150G;25/03/2021;7
1;194;NESTLE GREGO IOG FRUTAS VERM 12X400G;25/03/2021;8
1;204;NESTLE FLAN CARAMELO 20X200G;25/03/2021;1
1;453;CHANDELLE CHOCOLATE 18X360G;25/03/2021;19
1;1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;25/03/2021;1
1;2041;NESFIT IOGURTE MARACUJA AVEIA 24X170G;25/03/2021;6
1;195;IOGURTE GREGO NESTLE TRADICIONAL 12X400G;25/03/2021;2
1;1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;25/03/2021;11
1;1940;NESTLE GREGO TORTA MARACUJA 24X90G;25/03/2021;1
1;1941;NESTLE GREGO TRADICIONAL 24X90G;25/03/2021;3
1;2040;NESFIT IOGURTE FRUTAS VERMELHAS 24X170G;25/03/2021;1
1;180;NINHO IOGURTE POLPA 6X540G;25/03/2021;16
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;25/03/2021;50
1;182;CHAMBINHO PETIT MRG 12X480G;29/03/2021;6
1;192;NESTLE BICAM IOGURTE MORANGO 28X150G;29/03/2021;1
1;199;IOGURTE NESTLE NATURAL 28X170G;29/03/2021;4
1;249;NESTLE GREGO LIGHT MARACUJA 12X360G;29/03/2021;8
1;451;CHAMBINHO CHOCOLATE 16X320G;29/03/2021;3
1;1512;NESTLE IOGURTE VIT DE FRUTA 12X1,250G;29/03/2021;1
